Stimulus,CID,Concentration,pleasantness
832,14525,0.001,44.59615384615385
833,6505,0.001,51.53333333333333
834,6505,0.1,43.21212121212121
835,311,0.001,46.733333333333334
836,311,0.1,51.733333333333334
837,6506,0.001,46.166666666666664
838,6506,0.1,41.075
839,6544,1e-05,54.3125
840,6544,0.001,51.54
841,6549,0.001,74.56862745098039
842,6549,1e-05,66.0
843,5355850,1e-05,46.888888888888886
844,5355850,0.001,50.76744186046512
845,6560,1e-05,43.5
846,6560,0.001,37.371428571428574
847,6561,0.001,24.327272727272728
848,6561,1e-05,27.27659574468085
849,6569,0.001,43.333333333333336
850,6569,1e-05,49.56521739130435
851,1032,1e-07,39.41379310344828
852,1032,1e-05,41.627906976744185
853,6584,0.001,36.391304347826086
854,6584,0.1,26.901960784313726
855,6590,1e-05,25.044444444444444
856,6590,1e-07,49.0
857,638014,0.001,49.1764705882353
858,638014,1e-05,62.604651162790695
859,6658,0.001,39.31111111111111
860,6658,1e-05,47.42307692307692
861,6669,0.1,65.19148936170212
862,6669,0.001,63.08163265306123
863,5362588,1e-05,45.27272727272727
864,5362588,1e-07,64.69444444444444
865,69963,1e-05,49.193548387096776
866,69963,0.001,48.02173913043478
867,13187,1e-05,49.592592592592595
868,13187,0.001,60.3469387755102
869,13204,1e-05,50.48
870,13204,0.001,45.044444444444444
871,13216,0.001,49.92
872,13216,1e-05,50.58064516129032
873,6826,0.001,63.10204081632653
874,6826,1e-05,53.25925925925926
875,62332,0.001,49.23529411764706
876,62332,0.1,58.92307692307692
877,6920,1e-05,46.02272727272727
878,6920,1e-07,52.357142857142854
879,61229,0.001,72.52941176470588
880,61229,0.1,74.32692307692308
881,13436,0.001,26.56
882,13436,1e-05,28.28
883,6943,1e-05,44.44736842105263
884,6943,0.001,28.77777777777778
885,170833,0.001,45.074074074074076
886,170833,0.1,56.85454545454545
887,6989,0.001,41.7962962962963
888,6989,1e-05,48.523809523809526
889,6997,1e-05,33.15384615384615
890,6997,0.001,29.2
891,6998,1e-05,39.48936170212766
892,6998,0.001,30.566037735849058
893,460,1e-05,41.29090909090909
894,460,1e-07,40.28
895,7047,0.001,22.425925925925927
896,7047,1e-05,34.07142857142857
897,7059,0.001,36.660377358490564
898,7059,1e-05,60.44444444444444
899,323,0.1,67.2
900,323,0.001,65.09615384615384
901,7092,0.1,40.75471698113208
902,7092,0.001,53.94230769230769
903,7095,0.001,51.38461538461539
904,7095,0.1,31.29090909090909
905,13561,1e-05,52.69565217391305
906,13561,0.001,49.48837209302326
907,5281167,0.001,51.018181818181816
908,5281167,1e-05,60.04081632653061
909,7119,0.1,54.31481481481482
910,7119,0.001,61.574074074074076
911,7122,0.001,60.65384615384615
912,7122,0.1,54.36363636363637
913,7127,0.001,54.43589743589744
914,7127,1e-05,55.30769230769231
915,637776,1e-05,39.55
916,637776,0.001,58.75
917,7136,1e-05,57.96666666666667
918,7136,0.001,63.94230769230769
919,7137,0.1,58.3
920,7137,0.001,66.79166666666667
921,7144,1e-07,42.71052631578947
922,7144,1e-05,39.81481481481482
923,7147,1e-05,48.86666666666667
924,7147,0.001,53.95
925,7150,1e-07,47.84615384615385
926,7150,1e-05,45.857142857142854
927,7151,0.001,38.32608695652174
928,7151,0.1,38.41509433962264
929,7165,1e-05,58.58620689655172
930,7165,0.001,57.05882352941177
931,106441,0.001,27.27777777777778
932,106441,1e-05,33.326530612244895
933,556940,1e-07,32.333333333333336
934,556940,1e-05,19.59259259259259
935,7194,0.001,49.4
936,7194,0.1,53.61904761904762
937,638024,0.001,44.875
938,638024,0.1,51.490566037735846
939,7288,1e-05,45.44444444444444
940,7288,0.001,41.06818181818182
941,7302,0.001,28.863636363636363
942,7302,1e-05,46.125
943,7335,1e-05,44.078947368421055
944,7335,0.001,27.203703703703702
945,3314,0.001,67.64814814814815
946,3314,1e-05,61.76470588235294
947,853433,0.001,68.41818181818182
948,853433,1e-05,66.90196078431373
949,7341,1e-07,37.916666666666664
950,7341,1e-05,49.970588235294116
951,7360,1e-05,45.15
952,7360,0.001,42.65714285714286
953,7361,1e-05,44.62068965517241
954,7361,0.001,39.6
955,7409,1e-05,44.470588235294116
956,7409,0.001,50.422222222222224
957,7410,1e-05,52.725
958,7410,0.001,52.8
959,7463,0.1,37.03636363636364
960,7463,0.001,47.372549019607845
